species,thousand_seed_weight_g,seeds_per_gram,seeds_per_oz,seeds_per_lb,material,collection_location
Verbascum nigrum L.,0.1000,10000.0,283495,4535924,seed,"Brussels, BE"
Veronica agrestis L.,0.2760,3623.2,102716,1643451,seed,"Oulu, FI"
Veronica beccabunga L.,0.0460,21739.1,616293,9860704,seed,"Leipzig, DE"
Veronica peregrina L.,0.0400,25000.0,708738,11339809,seed,"Ebes, HU"
Vicia dumetorum L.,51.6350,19.4,549,8785,seed,"Gatersleben, DE"
Vicia ervilia (L.) Willd.,34.6550,28.9,818,13089,seed,"Caen, FR"
Vicia faba L.,778.3180,1.3,36,583,seed,"Tápiószele, HU"
Vicia lutea L.,73.0670,13.7,388,6208,seed,"Gatersleben, DE"
Vicia oroboides Wulfen,18.9160,52.9,1499,23979,seed,"Zagreb, HR"
Vicia sparsiflora Ten.,12.4620,80.2,2275,36398,seed,"Balatonrendes, HU"
Vincetoxicum hirundinaria Medik.,5.8570,170.7,4840,77444,seed,"Tatabánya, HU"
Viola prionantha Bunge,0.9750,1025.6,29076,465223,seed,"Debrecen, HU"
Viola tricolor L.,0.6560,1524.4,43216,691452,seed,"Baselland, CH"
Xanthium orientale subsp. italicum (Moretti) Greuter,221.2300,4.5,128,2050,infrutescens,"Gerendás, HU"
Xanthium strumarium L.,68.9170,14.5,411,6582,infrutescens,"Hortobágy, HU"
Zannichellia palustris L.,0.4290,2331.0,66083,1057325,nucula,"Tata, HU"
Zea mays L.,305.6790,3.3,93,1484,caryopsis,"Komló, HU"
Zinnia elegans Jacq.,5.4310,184.1,5220,83519,achaenium,"Copenhagen, DK"
