species,behaviour,uncertain,provisional,thousand_seed_weight_g,evidence
Aeschynomene sensitiva,orthodox,,,,"long-term storage under IPGRl preferred conditions at RBG Kew, WP. Oldest collection 13 years; average germination change 96.7 to 100%, mean storage period 11 y"
Aethusa cynapium,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Africa occurs,orthodox,yes,,,"fruits should be dried in the sun for 1-2 days before extraction (Albrecht, 1993)"
Agalinis genistifolia,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 14 years; germination change 94 to 95%, 13 years, 1 collection"
Agastache pallida,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 19 years; germination change 79 to 100%, 12 vears, 1 collection"
Agastache rugosa,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 9 years"
Aglaia clarkii,recalcitrant,yes,,,"seeds have 42% mc and 10% viability (20 seeds tested) at receipt, no seeds survive desiccation to 30% mc (SSLR) Comment: Because of limited number of seeds test"
Aglaia spectabilis,recalcitrant,yes,,450,"short-lived, seeds should be sown immediately after harvest (Dent, 1948); short-lived in storage (Doai Van Nguyen, pers. com.)"
Agonis flexuosa,orthodox,,,0.04,"(Langkamp & Plaisted, 1987); 2% initial germination, 0% to 9% germination after 14 days storage in liquid nitrogen depending on pretreatment (Touchell & Dixon, "
Agrimonia eupatoria,orthodox,,,,"viability maintained after 8 years hermetic storage at -18�C (Montezuma-De-Carvalho et al., 1984); long-term storage under IPGRI preferred conditions at RBG Kew"
Agrimonia odorata,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 1 year"
Ailanthus altissima,orthodox,yes,,31,"viability lost within 6 months hermetic storage at room temperature with 13�2% mc (Kaul, 1979); 75% germination after one year open storage at fluctuating tempe"
Ailanthus grandis,orthodox,yes,,,"seeds can be stored for 1 year (Dent, 194H)"
Ajuga chamaepitys,orthodox,,,,"long-term storage under IPGRI preferred conditions at RBG Kew, WP. Oldest collection 13 years; germination change 70 to 82.4%, 9 years, ] collection"
Ajuga iva,orthodox,,,,"viabilitv maintained after 8 years hermetic storage at _]8�(: (Montezuma-De-Carvalho el al., 1984)"
Akebia quinata,orthodox,yes,,,"seeds should be dried before storage (Young & Young, 1992); viability maintained for more than 24 months in air-dry storage at 5�C (Riley, 1981)"
Akebia trifolia,orthodox,yes,,,"seeds should be dried before storage (Young & Young, 1992); viability maintained for more than 24 months in air-dry storage at 5�C (Riley, 1981)"
Alberta magna,orthodox,yes,,,"viability can be maintained for 1 year in open storage (Staden et aL, 1990)"
Albizia alfissimum,orthodox,,,,"long-term storage at UTA Genebank (Ng et al., 1993)"
Albizia amara,orthodox,yes,,,"viability maintained for at least 2.5 years (Dent, 1948)"
Albizia anthelmintica,orthodox,yes,,,"(Tietema et ai., 1992)"
